"","MaleUnem.Rate","FemaleUnem.Rate","AWE.Pri","AWE.Pub","Curr.Expenditure.Interest","Net.Borrowing","Exch.Rate.UstoSterling","Exch.Rate.EutoSterling","RSI.all","RSI.Fuel","RSI.Internet","RPI.all","RPI.Fuel.Light","RPI.Food","Unempl.level","Active.level","Inactive.level","IOP.Mining","IOP.Prod.BE","IOP.Manuf.C","IOP.Elec.D","IOP.Water.E","IOP.MIGCAG.Cap.Goods","IOP.MIGCD.Cons.Goods","IOP.MIGCND.Cons.Non.Dur","IOP.MIGCOG.Con.Goods","IOP.MIGIG.Inter.Goods","IOP.MIGNRG.Energy","TiGlessOil.EU.Imp","TiGlessOil.Non.EU.Exp","TiGlessOil.EU.Exp","TiGlessOil.Non.EU.Imp","TiG.BalanceBOP.Non.Eu","TiG.BalanceBOP.Eu","TiG.BalanceBOP.Fuels.Eu","TiG.Fuels.Eu.Imp","TiG.BalanceBOP.Fuels.NonEu","TiG.Fuels.NonEU.Exp","TiG.Fuels.NonEU.Imp","TiG.CrudeOil.EU.Exp","TiG.Oil.EU.Exp","TiG.Oil.NonEU.Imp","TiG.Oil.EU.Imp","TiG.Oil.NonEU.Exp","TiG.CrudeOil.NonEU.Imp","TiG.RefinedOil.EU.Imp","TiG.RefinedOil.EU.Exp","TiG.RefinedOil.NonEU.Exp","TIG.Total.EU.Exp","TIG.Total.EU.Imp","TiG.RefinedOil.NonEU.Imp","TIG.Total.NonEU.Imp","TIG.Total.NonEU.Exp","TiG.Fuels.EU.Exp","UK.Job.Vacan","IoS.GJ.Dist.Transport","IOS.HN.RU.Pri.Non.Dis.Services","IOS.excl.Gov","IOS.JN.Info.Comm","IOS.JT.Services.excl.Distrib.Transport.Accom","IOS.Legal.Account.Mang","IOS.MN.Prof.Scientific","IOS.OQ.PAD.Educ.Health","IOS.OT.Gov.services","IOS.Services","AWE.Pub.exclFinance","AWE.Finance","CPI.M.Rate","CPI.Fuel.Rate","TIG.CrudeOil.NonEU.Exp","TiG.CrudeOil.EU.Imp","HP.Engl","HP.London","HP.UK","HP.Price.UK","BOE_Rate_tr"
"264",0.593028630610807,-1.40863826551048,-0.414389995353391,0.902277718009761,0.0265778069170048,0.00954896055766852,-1.04366900441967,0.495293381711711,-0.7549490694387,-1.01338906685087,0.176120918569184,1.53004287719771,1.63988434630266,2.2692472455417,-0.271233830006029,-0.820597402507923,1.80359641296165,-1.310257144619,-0.933106961799024,-0.613438720803521,1.17991330554695,1.42912369315587,-0.201516806927737,2.38046731175535,-0.286625410053715,0.848942851485315,-1.60315959619442,-0.134797044027267,0.139063192073574,0.565435573147327,-0.238156025060721,0.463836095180362,0.00353353824188104,0.352151820824368,-0.206653638427138,1.0660950350856,0.136905510603476,-0.682404351321008,0.0372571017696788,-0.0193736573354561,-0.278222250866184,-0.231972944526989,0.590780911411004,-0.666273148614475,-0.173417195873906,0.556108886798092,-0.785126886432235,-0.00591636971272882,-0.33452625444304,0.229283443716924,-0.242360814017484,0.255733471276629,0.279629158334081,-0.235919994324927,0.590485413535345,-0.366011111972281,-0.672613655177256,-0.893741661140156,-0.34659155353236,-0.35049054800276,-1.26151495134318,-0.801751069727729,0.349783950940199,-0.252666943668771,-0.679826405977093,0.924029085109558,1.1896873008025,1.17520683707815,0.845284628379387,-0.81702724215574,0.293488031594539,0.0510231073206192,0.585587942507654,-0.145184680897285,-0.145184699762091,0
"265",-0.586132948859519,0.724442536548244,2.90488276628163,0.899282108056209,-0.0349526086150664,-0.0664160542802915,0.572575784572315,0.0729289194910195,0.687905084913913,2.77531511988629,0.787512107316494,0.569746701863679,0.17380586491235,0.63935587100822,0.0247660277161961,0.962329711870805,-0.0738288552317986,-1.55669062822358,-1.07536466358661,0.558738589381694,-1.80642616746412,0.600671094010467,1.79181473266606,-1.26219462494693,-0.979982868954091,-1.37265380759348,0.863564751134985,-2.64774632096847,0.57246358246314,1.14585492452523,0.690736969802915,-0.937759515997652,-0.445940001643424,-0.406472088874944,0.484687139922553,-1.15248402656809,-0.0101209956169501,-0.168570377229321,-0.102255325854064,0.613611101355556,1.12161173596749,-0.429135104410653,-0.914258765182034,-0.128212130078442,-0.567076242308089,-1.08428164042859,1.73829068543384,0.456294059615836,1.11228897657903,0.383598916260841,0.442820178697533,-1.01373334424217,1.03862419757916,0.769199715411669,-0.403945703350315,0.337611024479937,0.248053864397612,0.389768886678141,-0.174663901319597,0.141070260467946,-0.648103306252554,0.746466927338001,0.139131940262249,0.697985270123548,0.257422072019373,0.920924148667658,2.24530629990469,0.881405127808609,0.724529681468046,-0.442368341056699,0,-0.287292003581096,0.494024209885356,-0.657148386116178,-0.657148401637475,0
"266",0,0.714239120540528,-0.821731542876475,0.358522529379951,0.015013709829984,2.74710386481869,0.986881558258956,-0.00971151288068472,-0.302351066432024,0.118211133523448,-1.10591978033643,2.17830667702352,0.22232538791305,1.75128255679742,0.519878796749651,2.06282737045187,-1.25529345291001,-2.1734123251974,-1.87020887695132,-0.0614169004994919,-1.13713668391933,-2.28056665838259,0.191671391204657,1.03396696559784,-0.0587647530201418,0.490169287531996,-0.791749707264775,-2.43447552797328,-0.745017568802014,1.48920512238789,-0.366078983916314,-1.20935645048458,-0.934075877660701,0.367265834443184,-0.415516678038225,-0.404469527689979,-0.255414457398878,1.07129344464533,-0.374965658869118,-1.78330118379834,-1.71546852686524,-0.0935642852976262,0.305143336900599,1.011841594048,-0.0159181455914108,0.534085565388317,-0.20068487443204,-0.790827069051002,-1.16457135751913,-0.672639781438587,-0.247724066971902,-1.07666321024506,1.66582344796695,-1.71425375567444,-0.46911543246226,0.266539689234624,0.740345379894402,0.709230334944666,0.759876417894157,0.773956366821016,0.89609859143112,0.133797375682657,0.69410862059482,0.501372703450246,1.02593486782935,0.183568001770582,-1.40031531632716,1.17520683707815,0.181132420367011,1.5844008950092,-0.332619769140478,-0.0570432393953278,0.144111881753485,-0.418190869927972,-0.418190891314281,0
"267",-0.593028630610807,-0.704319132755243,-0.206016916666422,0.358048606670872,-0.0716873720612068,0.0305347065136035,0.0836572312957759,-1.39869458065114,0.151923001859843,-0.254345482893622,0,1.12520662953449,0.355858255769989,-1.57496432806981,-0.785605088379369,0.444155116455664,0.518310082125298,-0.0447747895430727,-0.133416954284908,-0.368940618018428,-0.117029249607007,1.05565793164923,-0.158736121159505,0,0,-0.0607083948249268,-0.592865744230329,-0.204983188734477,-0.115511794503231,-2.15164163889614,0.0790542532864401,0.783823639846734,4.18553320178726,-0.420787094677024,0.527205312441417,-0.0696915308120079,0.176231568363536,-0.525723774298641,0.19157571566004,2.06503239280453,1.52167734985065,-0.0371833031825154,0.0784455344453154,-0.501522480147605,0.127865649055801,-0.219715641224946,0.366263626330703,0.114160024347435,0.643560492131317,-0.0991467143150718,-0.505902741192798,0.635953742938016,-2.16513818583295,1.59505447825489,-0.77666199097943,0.131883422306594,0.607606688044647,0.50882498367494,0.689582155859196,0.485870209979779,0.703504267302634,0.53381369424031,0,-0.248460501765295,0.421329539033709,0.733780526488618,-0.470496014971635,-1.17520683707815,0,-0.686122324904268,0.645673669507986,-0.180195478565763,0.97659465616712,-0.364147338119906,-0.364147367783159,0
"268",0,0,0.618490330902596,0.178787967621462,0.16409066602759,-0.000694889181698766,0.535597227100883,-0.975672150228534,0.606193383499986,0.774692704653658,0,1.7723819264571,0.0850049450305264,0.238575627495735,-0.223788688648999,-0.233626765428738,1.134058931868,1.5070811287889,-0.0668671179917772,-0.0619330089070506,-1.5001558957867,-2.67390060676732,-0.414856770232858,-0.155538904349064,0.352991476427291,0.243112698356391,0.0547438369023042,0.460598325780903,-0.0547268590275229,-0.055357546675476,-0.26174079114367,-1.07746789669717,-0.261517522204671,0.230416897526067,-0.0703443595125842,0.465086198051449,-0.00614548338938277,0.107707850973428,0.0315443684672914,-0.112404187607359,-0.30376911723938,0.121717874163875,0.0851665190371145,0.132535389621064,-0.0361133303017099,0.151484858052527,-0.582874852188246,-0.312635635651738,-0.367256165862082,-0.037030442506693,0.559785873390848,-0.854719672771165,-0.013973244933876,-0.0758862376209177,-0.49302665596155,-0.196801458771873,-1.08005498064395,-0.944750407417161,-1.24483394290865,-0.963465258232409,-1.67513332275616,-1.32095118994581,0.205936747301063,0.187176347901784,-0.837643250221778,-0.548865874452948,1.061439009776,1.46900854634768,-0.966039575290728,0.33854719978829,-0.0782634750918771,0.384384365518531,0.99984527745733,1.22617733593281,1.22617740294267,0
"269",-0.600088495260936,-0.714239120540522,0.822897946769841,-0.17867003360588,-0.0468495188321231,-0.0116915631784302,-0.0939439618705101,0.364609841814346,-1.12551015114121,-0.303895588204096,0.443133822444973,0.740216989224476,-0.181698070002753,1.98519210563972,-0.524066302160442,-0.6309898585216,1.62309788571144,0.0291082007838948,0.870307382147786,0.682081923816508,0.979062981629122,1.14535672802096,0.841067515229984,-0.0312899107343928,-0.175293724105494,-0.181500040820994,0.491991686853835,0.404513378494159,0.901922585284815,-0.231587058025329,0.550293659811521,5.45373554858021,1.75999454773528,0.136169390129641,0.0332237769625493,0.557966011210661,-0.103694575221481,-0.197391822928149,-0.404206195343761,0.163224544217681,0.368178116624272,-0.269875972035415,0.267157898438282,-0.220493383077981,-0.205681799993056,0.203650082500281,0.65394793150708,1.33105730515733,0.651873518111204,0.905589896683597,-0.267004224518421,4.40836363143679,-0.286201150985001,0.358351677654334,0.125697390009999,0.396681949493246,1.288994188209,1.02648811843109,1.45553251099666,1.12018167223061,1.31761790343595,1.6265289325808,-0.273677113263104,-0.124368284494744,1.01728240508862,-0.366644851696962,1.2895768839779,0,0.301887367278353,-1.01112763670103,0.27392216282157,-0.830820332404748,-3.62418213831573,-0.351656137416848,-0.351656140526649,0
"270",0.607318477131549,1.44888507309649,-0.205142110226283,0.178787967621462,0.0530188318005729,0.000994923035349605,-0.279549499836147,-0.714551195955936,-0.229301694971315,-0.135388266197907,0.872244422660675,0,0.0608922317184571,1.4119497720696,0.956399208426102,1.63728438067559,-0.759664510706718,0.648091067640577,0.329632158447174,-0.428388345121037,0.816169756335991,0.826050561804453,-0.157435005412296,0.501225486840222,-0.586308925349056,-0.182125184474789,0.21589118778375,0.813787302336804,-1.26824580956421,-0.0977519329888729,-0.791469417512517,-3.07256001957504,-0.403463831345487,-0.245913095009706,-0.101346828643253,-0.561013501228713,0.289065715577395,-1.02525645613335,0.364564729671881,-0.457792347408186,-0.438168767967393,0.714114758773269,-0.781622053651321,-1.04930192782593,0.898631335063108,-0.601768480881972,-0.159839485146275,-0.825905042454741,-0.896204493413623,-1.34357274270172,-0.37012446245326,-2.39691369681773,-0.40315378868162,-0.598150920595955,-0.125078191044433,-0.130190438708311,-0.179338321837772,-0.188720215204253,-0.225468475588785,-0.13730382147487,0.699156280483705,0.197139424423556,0,0.0623226369962568,-0.25069607963882,0,-0.11638585633508,-0.881405127808609,0.422642314189694,-0.433340415729011,-0.802200619691741,-0.407074290666882,0.726342576643285,0.133671221182148,0.133671203991754,0
"271",0.600088495260936,0.704319132755237,0.615862185020574,-0.357340067211761,-0.0429606308798048,-0.0351000961579982,-0.198015313958694,0.239488701821327,0.23016050281765,0.0389946761103878,0.760939612897839,-0.46106202772699,-0.0729397270261976,0.466563238720532,0.991433621534763,0.443432619316248,0.441830404981012,0.235388688047192,-0.131084490049158,-0.123421522534864,-0.0582805663042893,-1.24113820253094,-0.158245690301134,-0.399747513202765,0,-0.182754649398089,0.0536704283355923,0,0.927794875156672,0.422269707956145,0.449036722709089,-0.513270453446481,-0.218555222382441,0.547368867212678,-0.276335246321692,0.615589082415188,-0.0580697728712943,0.32440061703768,-0.0914392586205685,0.151247441196786,-0.619209075097133,-0.038172907849357,0.841042646528275,0.391036038437532,-0.111730221913045,0.276521765404947,-1.89914472912216,0.492012240249386,0.123642816086561,1.02077305487044,0.286678220009252,-0.449500628693694,0.486436852261632,-0.66819718899634,0.439940865034997,0.163577986699634,0.300015272401097,0.378822996087659,0.453246487419196,0.206456841049799,-2.00940013011534,-0.916503587273872,0,-0.249013250378797,0.335456653247332,0.183568001770582,0,0.587603418539073,0,-0.0180558506553755,1.44787428919973,0.3557220172423,1.19737050493223,0.995630048524657,0.995630095407479,0
"272",0.593028630610807,0.694670925457226,0.204852156713538,0.715624229713432,-0.0307530604451004,0.0659085882430776,0.585056549123962,0.578473118104943,0,-0.0778098600407508,0.246832153039496,1.29372394111584,0.353301802783135,0.620288981156101,0.390328197454631,-1.98259912402961,3.0162565741812,-0.123673649101718,-0.19708614333325,0.0618587487045242,-0.146090991738691,-1.37358044607435,0.159064767373086,-0.686769676259018,0.355838181882359,-0.122258987034717,0,-0.273930670961873,-0.172742331347786,0.004603494117506,0.0627527257983264,0.157671760199917,0.010581244150441,-0.0370548722752859,-0.0164738245485442,-0.476559855882455,0.0628623074234466,0.424226961426055,0.358242283212012,-1.01174698706603,-0.598991197758628,-0.0106821629279741,-0.508408716550048,0.404633018408339,-0.126518045401536,-0.692135613031365,0.96320439168557,0.148626088906193,-0.17973994113313,-0.250043307062027,0.430429224008145,0.127725607838337,0.0972842638460277,-0.308105140417748,0.0617782792749874,0.0975176459170885,-0.119262576686832,-0.188033959876238,-0.168244062107605,0,0.959486736066711,0,0.206164050554165,0.312657698450468,-0.0834662313388201,0.550335394866424,-0.698774858312037,0.293801709269535,0.57358599782887,0.22118417052835,0.0586976063189079,-0.0688467326980624,0.207172908168087,0.04756092203096,0.0475608980615515,0
"273",1.17226589771905,0.685283480518609,1.02353743555675,0.892173158585409,-0.0710201233477433,0.0301383776912289,-1.60813933699053,0.241136643763394,0.0764338983237645,0.0586272558168302,0.815471117043708,1.65349614619652,3.20722176888376,0.386194535165178,1.33335409781915,0.187094752570799,0.462869012884788,0.510191375554372,0.131852863378871,-0.185353999112248,-0.0588296429720283,-0.303375380476952,-0.031649138060225,-1.24957046393237,-0.706790713670214,-1.10288089694699,0.375167553596233,0.342189043871289,0.784874565269198,-0.338243787131384,-0.357352355075891,-0.135827267538671,0.0848315070812202,0.414365659149358,0.120729067461527,1.06336343570107,-0.051905107715135,-0.28859725667633,-0.27699042108946,1.9045147493681,1.28783928047917,0.0428167883697179,0.934628584377736,-0.305122530930374,-0.0380358202257175,0.603255882774065,-0.236019908756417,0.137142184893813,0.129090020740407,0.897940010886236,0.279190829579617,-0.0869137853239609,-0.399464521837259,0.918493620395574,0.184884995985581,0.0647626767265482,0.0597794406125879,0.0629067384014148,0.112590810010939,0.137137392600355,0.176314660508515,0.666410548971378,0.273978188195177,0.186552426742111,0.25069607963882,0.732310024431527,1.28616755976381,2.05661196488676,0.241509893822682,-0.374658901099041,1.19351799515113,-0.00675644197806652,0.277360613314603,-0.197396917404431,-0.197396895937414,0
